sampleID,popGroup,prob,species,location
FF0395,1,1.00E-05,microphylla,NOCAL
FF0397,1,0.00474,microphylla,NOCAL
FF0399,1,1.10E-05,microphylla,NOCAL
FF0401,1,0.004573,microphylla,NOCAL
FF0402,1,0.788168,filiculoides,NOCAL
FF0403,1,1.00E-05,microphylla,NOCAL
FF0404,1,1.00E-05,microphylla,NOCAL
FF0405,1,1.00E-05,microphylla,NOCAL
FF0406,1,1.00E-05,microphylla,NOCAL
FF0407,1,1.00E-05,microphylla,NOCAL
FF0408,1,1.00E-05,microphylla,NOCAL
FF0409,1,1.00E-05,microphylla,NOCAL
FF0410,1,0.924494,filiculoides,NOCAL
FF0411,1,1.00E-05,microphylla,NOCAL
FF0412,1,1.00E-05,microphylla,NOCAL
FF0413,1,1.00E-05,microphylla,NOCAL
FF0414,1,1.00E-05,microphylla,NOCAL
FF0415,1,1.00E-05,microphylla,NOCAL
FF0416,1,1.00E-05,microphylla,NOCAL
FF0417,1,1.00E-05,microphylla,CENTRAL
FF0418,1,1.30E-05,microphylla,CENTRAL
FF0419,1,1.10E-05,microphylla,CENTRAL
FF0420,1,0.007273,microphylla,CENTRAL
FF0421,1,0.014538,microphylla,CENTRAL
FF0422,1,1.00E-05,microphylla,CENTRAL
FF0423,1,1.00E-05,microphylla,CENTRAL
FF0424,1,1.00E-05,microphylla,CENTRAL
FF0425,1,1.00E-05,microphylla,CENTRAL
FF0426,1,1.00E-05,microphylla,CENTRAL
FF0427,1,1.20E-05,microphylla,CENTRAL
FF0428,1,0.775363,filiculoides,NOCAL
FF0429,1,1.00E-05,microphylla,CENTRAL
FF0430,1,1.00E-05,microphylla,CENTRAL
FF0431,1,1.00E-05,microphylla,CENTRAL
FF0432,1,1.00E-05,microphylla,CENTRAL
FF0433,1,1.00E-05,microphylla,CENTRAL
FF0434,1,1.00E-05,microphylla,CENTRAL
FF0435,1,0.016166,microphylla,CENTRAL
FF0436,1,1.00E-05,microphylla,CENTRAL
FF0437,1,1.00E-05,microphylla,CENTRAL
FF0438,1,1.00E-05,microphylla,CENTRAL
FF0439,1,1.00E-05,microphylla,CENTRAL
FF0440,1,1.00E-05,microphylla,CENTRAL
FF0441,1,1.00E-05,microphylla,CENTRAL
FF0442,1,1.00E-05,microphylla,CENTRAL
FF0443,1,1.00E-05,microphylla,CENTRAL
FF0444,1,1.00E-05,caroliniana,CENTRAL
FF0445,1,1.00E-05,caroliniana,CENTRAL
FF0446,1,1.00E-05,caroliniana,CENTRAL
FF0447,1,0.99998,filiculoides,SOCAL
FF0448,1,1.00E-05,caroliniana,SOCAL
FF0449,1,1.00E-05,microphylla,NOCAL
FF0450,1,1.00E-05,microphylla,NOCAL
FF0451,1,1.00E-05,microphylla,NOCAL
FF0452,1,1.20E-05,microphylla,NOCAL
FF0453,1,1.40E-05,microphylla,NOCAL
FF0454,1,1.00E-05,microphylla,NOCAL
FF0455,1,1.00E-05,microphylla,NOCAL
FF0456,1,1.00E-05,microphylla,NOCAL
FF0457,1,1.00E-05,microphylla,NOCAL
FF0458,1,1.20E-05,microphylla,NOCAL
FF0459,1,1.00E-05,microphylla,NOCAL
FF0460,1,1.00E-05,microphylla,NOCAL
FF0461,1,1.00E-05,microphylla,NOCAL
FF0462,1,1.00E-05,microphylla,NOCAL
FF0463,1,1.70E-05,microphylla,NOCAL
FF0464,1,0.785919,filiculoides,NOCAL
FF0465,1,1.00E-05,microphylla,NOCAL
FF0466,1,1.10E-05,microphylla,NOCAL
FF0467,1,1.00E-05,microphylla,NOCAL
FF0468,1,1.00E-05,microphylla,NOCAL
FF0469,1,1.00E-05,caroliniana,NOCAL
FF0470,1,0.99998,filiculoides,NOCAL
FF0471,1,0.822169,filiculoides,NOCAL
FF0472,1,1.00E-05,microphylla,CENTRAL
FF0473,1,1.00E-05,microphylla,CENTRAL
FF0474,1,1.00E-05,microphylla,CENTRAL
FF0475,1,1.00E-05,microphylla,CENTRAL
FF0476,1,1.00E-05,microphylla,CENTRAL
