"","IND","POP","K1","K2","K3","K4"
"83","FF0480","microphylla",1.1e-05,1e-05,0.999969,1e-05
"84","FF0481","microphylla",1e-05,0.407434,0.592535,2.1e-05
"85","FF0482","microphylla",1e-05,1e-05,0.99997,1e-05
"86","FF0483","microphylla",1e-05,0.448839,0.551141,1e-05
"87","FF0484","microphylla",1e-05,0.376494,0.623486,1e-05
"88","FF0485","microphylla",1e-05,0.566778,0.433202,1e-05
"89","FF0486","microphylla",1e-05,1e-05,0.99997,1e-05
"90","FF0487","caroliniana",0.99997,1e-05,1e-05,1e-05
"91","FF0488","filiculoides",1e-05,1e-05,1e-05,0.99997
"92","FF0489","filiculoides",0.070251,0.00986,1e-05,0.919879
"93","FF0490","caroliniana",0.99997,1e-05,1e-05,1e-05
"94","FF0491","microphylla",1e-05,0.001129,0.998851,1e-05
"95","FF0492","filiculoides",1e-05,1e-05,1e-05,0.99997
"96","FF0493","filiculoides",1.3e-05,1e-05,1e-05,0.999967
"97","FF0494","caroliniana",0.926484,0.073496,1e-05,1e-05
"98","FF0495","filiculoides",1e-05,1e-05,1e-05,0.99997
"99","FF0496","filiculoides",1e-05,1e-05,1e-05,0.99997
"100","FF0497","filiculoides",1e-05,1e-05,1e-05,0.99997
"101","FF0498","filiculoides",1.5e-05,1e-05,1e-05,0.999965
"102","FF0499","filiculoides",1e-05,1e-05,0.028426,0.971554
"103","FF0500","microphylla",1e-05,0.999481,0.000499,1e-05
"104","FF0501","filiculoides",1e-05,1e-05,1e-05,0.99997
"105","FF0502","filiculoides",1e-05,0.0756,1e-05,0.92438
"106","FF0503","filiculoides",1e-05,0.073893,1e-05,0.926087
"107","FF0504","filiculoides",1e-05,1e-05,1e-05,0.99997
"108","FF0505","filiculoides",1e-05,0.288882,1e-05,0.711098
"109","FF0506","filiculoides",1e-05,1e-05,1e-05,0.99997
"110","FF0507","filiculoides",1e-05,1e-05,2.6e-05,0.999954
"111","FF0508","caroliniana",0.99997,1e-05,1e-05,1e-05
"112","FF0509","filiculoides",1.5e-05,1e-05,1e-05,0.999965
