sampleID,popGroup,prob,species,location
FF0402,2,0.798016,filiculoides,NOCAL
FF0403,2,1.00E-05,microphylla,NOCAL
FF0404,2,1.00E-05,microphylla,NOCAL
FF0405,2,1.00E-05,microphylla,NOCAL
FF0406,2,1.00E-05,microphylla,NOCAL
FF0407,2,1.00E-05,microphylla,NOCAL
FF0408,2,1.00E-05,microphylla,NOCAL
FF0409,2,1.00E-05,microphylla,NOCAL
FF0410,2,0.938451,filiculoides,NOCAL
FF0411,2,1.00E-05,microphylla,NOCAL
FF0412,2,1.00E-05,microphylla,NOCAL
FF0413,2,1.00E-05,microphylla,NOCAL
FF0414,2,1.00E-05,microphylla,NOCAL
FF0415,2,1.00E-05,microphylla,NOCAL
FF0416,2,1.00E-05,microphylla,NOCAL
FF0417,2,1.00E-05,microphylla,CENTRAL
FF0418,2,1.00E-05,microphylla,CENTRAL
FF0419,2,1.00E-05,microphylla,CENTRAL
FF0420,2,0.006601,microphylla,CENTRAL
FF0421,2,0.014207,microphylla,CENTRAL
FF0422,2,1.00E-05,microphylla,CENTRAL
FF0423,2,1.00E-05,microphylla,CENTRAL
FF0424,2,1.00E-05,microphylla,CENTRAL
FF0425,2,1.00E-05,microphylla,CENTRAL
FF0426,2,1.00E-05,microphylla,CENTRAL
FF0427,2,1.00E-05,microphylla,CENTRAL
FF0428,2,0.784733,filiculoides,NOCAL
FF0429,2,1.00E-05,microphylla,CENTRAL
FF0430,2,1.00E-05,microphylla,CENTRAL
FF0431,2,1.00E-05,microphylla,CENTRAL
FF0432,2,1.00E-05,microphylla,CENTRAL
FF0433,2,1.00E-05,microphylla,CENTRAL
FF0434,2,1.00E-05,microphylla,CENTRAL
FF0435,2,0.015875,microphylla,CENTRAL
FF0436,2,1.00E-05,microphylla,CENTRAL
FF0437,2,1.00E-05,microphylla,CENTRAL
FF0438,2,1.00E-05,microphylla,CENTRAL
FF0439,2,1.00E-05,microphylla,CENTRAL
FF0440,2,1.00E-05,microphylla,CENTRAL
FF0441,2,1.00E-05,microphylla,CENTRAL
FF0442,2,1.00E-05,microphylla,CENTRAL
FF0443,2,1.00E-05,microphylla,CENTRAL
FF0444,2,0.113091,caroliniana,CENTRAL
FF0445,2,0.109971,caroliniana,CENTRAL
FF0446,2,0.107627,caroliniana,CENTRAL
FF0447,2,0.99999,filiculoides,SOCAL
FF0448,2,0.116613,caroliniana,SOCAL
FF0449,2,1.00E-05,microphylla,NOCAL
FF0450,2,1.00E-05,microphylla,NOCAL
FF0451,2,1.00E-05,microphylla,NOCAL
FF0452,2,1.00E-05,microphylla,NOCAL
FF0453,2,1.00E-05,microphylla,NOCAL
FF0454,2,1.00E-05,microphylla,NOCAL
FF0455,2,1.00E-05,microphylla,NOCAL
FF0456,2,1.00E-05,microphylla,NOCAL
FF0457,2,1.00E-05,microphylla,NOCAL
FF0458,2,1.00E-05,microphylla,NOCAL
FF0459,2,1.00E-05,microphylla,NOCAL
FF0460,2,1.00E-05,microphylla,NOCAL
FF0461,2,1.00E-05,microphylla,NOCAL
FF0462,2,1.00E-05,microphylla,NOCAL
FF0463,2,1.00E-05,microphylla,NOCAL
FF0464,2,0.795082,filiculoides,NOCAL
FF0465,2,1.00E-05,microphylla,NOCAL
FF0466,2,1.00E-05,microphylla,NOCAL
FF0467,2,1.00E-05,microphylla,NOCAL
